Race,Date,Distance(s),URL
Pacific Beach Half Marathon,05 Oct 24,5K/13.1M,https://www.sandiegorunningco.com/sdrc_events/pacific-beach-half-marathon-5k/
Breast Cancer Awareness 5K,11 Oct 24,5K,https://runsignup.com/Race/CA/SanDiego/BreastCancerAwarenessKRunWalk?aflt_token=vkmwDmweQ4iCYn8otSOOnKQ3vCO8buOw
Carmel Valley Trail Run,12 Oct 24,5K/10K/15K,https://www.enduranceraceseries.com/carmel-valley
2024 Kids Mission Bay Triathlon Prerace Clinic . .,13 Oct 24,triathlon,http://www.triuscoaching.com/upcoming-events/2014/9/7/socal-youth-triathlon-series-championship-event-4-at-pacific-coast-kids-tri
Mission Bay Triathlon,13 Oct 24,Sprint/Sprint Duathlon/Sprint Triathlon Relay/supersprint triathlon,http://www.tantracking.com/click.track?CID=254301&amp;AFID=156210&amp;nonencodedurl=http://www.active.com/san-diego-ca/running/distance-running-races/xterra-wetsuits-mission-bay-triathlon-2024&amp;cmp=39-34-156210
2024 XTERRA WETSUITS Mission Bay Triathlon,13 Oct 24,5K,http://www.active.com/san-diego-ca/running/distance-running-races/xterra-wetsuits-mission-bay-triathlon-2024?cmp=39-35-dgparham
Boot Camp Challenge 3-Mile Obstacle Run,19 Oct 24,3M,https://runsignup.com/Race/CA/SanDiego/MCRDBootCampChallenge?aflt_token=vkmwDmweQ4iCYn8otSOOnKQ3vCO8buOw
Lake Hodges Trail Festival,19 Oct 24,5K/10K/15K/50K,https://runsignup.com/Race/CA/SanDiego/LakeHodgesTrailFest?aflt_token=vkmwDmweQ4iCYn8otSOOnKQ3vCO8buOw
Miles for Melanoma - San Diego,20 Oct 24,5K,https://donate.melanoma.org/site/TR?fr_id=1943&amp;pg=entry
Lake Hodges Off-Road Challenge Duathlon,20 Oct 24,duathlon,https://runsignup.com/Race/CA/SanDiego/LakeHodgesOffRoadChallengeDuathlon?aflt_token=vkmwDmweQ4iCYn8otSOOnKQ3vCO8buOw
Tierrasanta Monster Mash 5k & Fun Run,26 Oct 24,5K,http://www.active.com/san-diego-ca/running/distance-running/tierrasanta-monster-mash-5k-and-fun-run-2024?cmp=39-35-dgparham
"2024 Crown Point Marathon/Half-Marathon Relay, SOLO Runs, 8K & 5K",27 Oct 24,5K/8K,http://www.active.com/san-diego-ca/running/distance-running-races/crown-point-marathon-half-marathon-relay-solo-runs-8k-and-5k-2024?cmp=39-35-dgparham
